time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	bound_ecolipol	2000.000000	0.000000	0.000000
0.000000	bound_ribosome	100.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
4.999974	__gene_A*_rbs	0.000000	0.000000	0.000000
4.999974	__gene_A_rbs	0.000000	0.000000	0.000000
4.999974	__gene_B_rbs	0.000000	0.000000	0.000000
4.999974	__gene_C_rbs	0.000000	0.000000	0.000000
4.999974	__gene_D_rbs	1.000000	0.000000	0.000000
4.999974	__gene_E_rbs	0.000000	0.000000	0.000000
4.999974	__gene_F_rbs	0.000000	0.000000	0.000000
4.999974	__gene_G_rbs	0.000000	0.000000	0.000000
4.999974	__gene_H_rbs	0.000000	0.000000	0.000000
4.999974	__gene_J_rbs	0.000000	0.000000	0.000000
4.999974	__gene_K_rbs	0.000000	0.000000	0.000000
4.999974	__ribosome	91.000000	0.000000	0.000000
4.999974	bound_ecolipol	1920.000000	0.000000	0.000000
4.999974	bound_ribosome	100.000000	0.000000	0.000000
4.999974	ecoli_genome	80.000000	0.000000	0.000000
4.999974	ecoli_transcript	391.000000	0.000000	0.000000
4.999974	ecolipol	73.000000	0.000000	0.000000
4.999974	gene_D	0.000000	3.000000	3.000000
4.999974	promoter_A	1.000000	0.000000	0.000000
4.999974	promoter_B1	0.000000	0.000000	0.000000
4.999974	promoter_D	0.000000	0.000000	0.000000
9.999196	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999196	__gene_A_rbs	1.000000	0.000000	0.000000
9.999196	__gene_B_rbs	0.000000	0.000000	0.000000
9.999196	__gene_C_rbs	0.000000	0.000000	0.000000
9.999196	__gene_D_rbs	5.000000	0.000000	0.000000
9.999196	__gene_E_rbs	1.000000	0.000000	0.000000
9.999196	__gene_F_rbs	0.000000	0.000000	0.000000
9.999196	__gene_G_rbs	0.000000	0.000000	0.000000
9.999196	__gene_H_rbs	0.000000	0.000000	0.000000
9.999196	__gene_J_rbs	0.000000	0.000000	0.000000
9.999196	__gene_K_rbs	0.000000	0.000000	0.000000
9.999196	__ribosome	66.000000	0.000000	0.000000
9.999196	bound_ecolipol	1921.000000	0.000000	0.000000
9.999196	bound_ribosome	100.000000	0.000000	0.000000
9.999196	ecoli_genome	79.000000	0.000000	0.000000
9.999196	ecoli_transcript	793.000000	0.000000	0.000000
9.999196	ecolipol	65.000000	0.000000	0.000000
9.999196	gene_A	0.000000	1.000000	1.000000
9.999196	gene_B	0.000000	2.000000	1.500000
9.999196	gene_D	0.000000	7.000000	3.857143
9.999196	gene_E	0.000000	3.000000	1.000000
9.999196	promoter_A	1.000000	0.000000	0.000000
9.999196	promoter_B1	0.000000	0.000000	0.000000
9.999196	promoter_D	0.000000	0.000000	0.000000
14.999154	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999154	__gene_A_rbs	1.000000	0.000000	0.000000
14.999154	__gene_B_rbs	2.000000	0.000000	0.000000
14.999154	__gene_C_rbs	0.000000	0.000000	0.000000
14.999154	__gene_D_rbs	8.000000	0.000000	0.000000
14.999154	__gene_E_rbs	3.000000	0.000000	0.000000
14.999154	__gene_F_rbs	0.000000	0.000000	0.000000
14.999154	__gene_G_rbs	0.000000	0.000000	0.000000
14.999154	__gene_H_rbs	0.000000	0.000000	0.000000
14.999154	__gene_J_rbs	1.000000	0.000000	0.000000
14.999154	__gene_K_rbs	0.000000	0.000000	0.000000
14.999154	__ribosome	28.000000	0.000000	0.000000
14.999154	bound_ecolipol	1909.000000	0.000000	0.000000
