time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	bound_ecolipol	2000.000000	0.000000	0.000000
0.000000	bound_ribosome	100.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
5.002093	__gene_A*_rbs	0.000000	0.000000	0.000000
5.002093	__gene_A_rbs	2.000000	0.000000	0.000000
5.002093	__gene_B_rbs	0.000000	0.000000	0.000000
5.002093	__gene_C_rbs	0.000000	0.000000	0.000000
5.002093	__gene_D_rbs	2.000000	0.000000	0.000000
5.002093	__gene_E_rbs	0.000000	0.000000	0.000000
5.002093	__gene_F_rbs	0.000000	0.000000	0.000000
5.002093	__gene_G_rbs	0.000000	0.000000	0.000000
5.002093	__gene_H_rbs	0.000000	0.000000	0.000000
5.002093	__gene_J_rbs	0.000000	0.000000	0.000000
5.002093	__gene_K_rbs	0.000000	0.000000	0.000000
5.002093	__ribosome	92.000000	0.000000	0.000000
5.002093	bound_ecolipol	1921.000000	0.000000	0.000000
5.002093	bound_ribosome	100.000000	0.000000	0.000000
5.002093	ecoli_genome	79.000000	0.000000	0.000000
5.002093	ecoli_transcript	402.000000	0.000000	0.000000
5.002093	ecolipol	73.000000	0.000000	0.000000
5.002093	gene_A	0.000000	3.000000	2.666667
5.002093	gene_D	0.000000	2.000000	0.000000
5.002093	promoter_A	1.000000	0.000000	0.000000
5.002093	promoter_B1	1.000000	0.000000	0.000000
5.002093	promoter_D	0.000000	0.000000	0.000000
9.999136	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999136	__gene_A_rbs	3.000000	0.000000	0.000000
9.999136	__gene_B_rbs	1.000000	0.000000	0.000000
9.999136	__gene_C_rbs	0.000000	0.000000	0.000000
9.999136	__gene_D_rbs	1.000000	0.000000	0.000000
9.999136	__gene_E_rbs	1.000000	0.000000	0.000000
9.999136	__gene_F_rbs	0.000000	0.000000	0.000000
9.999136	__gene_G_rbs	0.000000	0.000000	0.000000
9.999136	__gene_H_rbs	0.000000	0.000000	0.000000
9.999136	__gene_J_rbs	0.000000	0.000000	0.000000
9.999136	__gene_K_rbs	0.000000	0.000000	0.000000
9.999136	__ribosome	60.000000	0.000000	0.000000
9.999136	bound_ecolipol	1938.000000	0.000000	0.000000
9.999136	bound_ribosome	100.000000	0.000000	0.000000
9.999136	ecoli_genome	62.000000	0.000000	0.000000
9.999136	ecoli_transcript	784.000000	0.000000	0.000000
9.999136	ecolipol	50.000000	0.000000	0.000000
9.999136	gene_A	0.000000	6.000000	4.666667
9.999136	gene_B	0.000000	1.000000	0.000000
9.999136	gene_D	0.000000	3.000000	3.666667
9.999136	gene_E	0.000000	1.000000	1.000000
9.999136	promoter_A	0.000000	0.000000	0.000000
9.999136	promoter_B1	1.000000	0.000000	0.000000
9.999136	promoter_D	1.000000	0.000000	0.000000
14.999126	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999126	__gene_A_rbs	8.000000	0.000000	0.000000
14.999126	__gene_B_rbs	2.000000	0.000000	0.000000
14.999126	__gene_C_rbs	0.000000	0.000000	0.000000
14.999126	__gene_D_rbs	3.000000	0.000000	0.000000
14.999126	__gene_E_rbs	0.000000	0.000000	0.000000
14.999126	__gene_F_rbs	0.000000	0.000000	0.000000
14.999126	__gene_G_rbs	0.000000	0.000000	0.000000
14.999126	__gene_H_rbs	0.000000	0.000000	0.000000
14.999126	__gene_J_rbs	0.000000	0.000000	0.000000
14.999126	__gene_K_rbs	0.000000	0.000000	0.000000
14.999126	__ribosome	25.000000	0.000000	0.000000
