time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	bound_ecolipol	2000.000000	0.000000	0.000000
0.000000	bound_ribosome	100.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
5.011937	__gene_A*_rbs	0.000000	0.000000	0.000000
5.011937	__gene_A_rbs	0.000000	0.000000	0.000000
5.011937	__gene_B_rbs	0.000000	0.000000	0.000000
5.011937	__gene_C_rbs	0.000000	0.000000	0.000000
5.011937	__gene_D_rbs	0.000000	0.000000	0.000000
5.011937	__gene_E_rbs	0.000000	0.000000	0.000000
5.011937	__gene_F_rbs	0.000000	0.000000	0.000000
5.011937	__gene_G_rbs	0.000000	0.000000	0.000000
5.011937	__gene_H_rbs	0.000000	0.000000	0.000000
5.011937	__gene_J_rbs	0.000000	0.000000	0.000000
5.011937	__gene_K_rbs	0.000000	0.000000	0.000000
5.011937	__ribosome	100.000000	0.000000	0.000000
5.011937	bound_ecolipol	1927.000000	0.000000	0.000000
5.011937	bound_ribosome	100.000000	0.000000	0.000000
5.011937	ecoli_genome	73.000000	0.000000	0.000000
5.011937	ecoli_transcript	415.000000	0.000000	0.000000
5.011937	ecolipol	69.000000	0.000000	0.000000
5.011937	promoter_A	1.000000	0.000000	0.000000
5.011937	promoter_B1	0.000000	0.000000	0.000000
5.011937	promoter_D	1.000000	0.000000	0.000000
10.009495	__gene_A*_rbs	0.000000	0.000000	0.000000
10.009495	__gene_A_rbs	0.000000	0.000000	0.000000
10.009495	__gene_B_rbs	1.000000	0.000000	0.000000
10.009495	__gene_C_rbs	0.000000	0.000000	0.000000
10.009495	__gene_D_rbs	0.000000	0.000000	0.000000
10.009495	__gene_E_rbs	0.000000	0.000000	0.000000
10.009495	__gene_F_rbs	0.000000	0.000000	0.000000
10.009495	__gene_G_rbs	0.000000	0.000000	0.000000
10.009495	__gene_H_rbs	0.000000	0.000000	0.000000
10.009495	__gene_J_rbs	0.000000	0.000000	0.000000
10.009495	__gene_K_rbs	0.000000	0.000000	0.000000
10.009495	__ribosome	96.000000	0.000000	0.000000
10.009495	bound_ecolipol	1929.000000	0.000000	0.000000
10.009495	bound_ribosome	100.000000	0.000000	0.000000
10.009495	ecoli_genome	71.000000	0.000000	0.000000
10.009495	ecoli_transcript	775.000000	0.000000	0.000000
10.009495	ecolipol	63.000000	0.000000	0.000000
10.009495	gene_B	0.000000	2.000000	2.000000
10.009495	promoter_A	1.000000	0.000000	0.000000
10.009495	promoter_B1	0.000000	0.000000	0.000000
10.009495	promoter_D	1.000000	0.000000	0.000000
14.999861	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999861	__gene_A_rbs	0.000000	0.000000	0.000000
14.999861	__gene_B_rbs	3.000000	0.000000	0.000000
14.999861	__gene_C_rbs	0.000000	0.000000	0.000000
14.999861	__gene_D_rbs	0.000000	0.000000	0.000000
14.999861	__gene_E_rbs	0.000000	0.000000	0.000000
14.999861	__gene_F_rbs	0.000000	0.000000	0.000000
14.999861	__gene_G_rbs	0.000000	0.000000	0.000000
14.999861	__gene_H_rbs	0.000000	0.000000	0.000000
14.999861	__gene_J_rbs	0.000000	0.000000	0.000000
14.999861	__gene_K_rbs	0.000000	0.000000	0.000000
14.999861	__ribosome	76.000000	0.000000	0.000000
14.999861	bound_ecolipol	1921.000000	0.000000	0.000000
14.999861	bound_ribosome	100.000000	0.000000	0.000000
14.999861	ecoli_genome	79.000000	0.000000	0.000000
14.999861	ecoli_transcript	1162.000000	0.000000	0.000000
