time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	bound_ecolipol	2000.000000	0.000000	0.000000
0.000000	bound_ribosome	100.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
5.000678	__gene_A*_rbs	0.000000	0.000000	0.000000
5.000678	__gene_A_rbs	2.000000	0.000000	0.000000
5.000678	__gene_B_rbs	0.000000	0.000000	0.000000
5.000678	__gene_C_rbs	0.000000	0.000000	0.000000
5.000678	__gene_D_rbs	0.000000	0.000000	0.000000
5.000678	__gene_E_rbs	0.000000	0.000000	0.000000
5.000678	__gene_F_rbs	0.000000	0.000000	0.000000
5.000678	__gene_G_rbs	0.000000	0.000000	0.000000
5.000678	__gene_H_rbs	0.000000	0.000000	0.000000
5.000678	__gene_J_rbs	0.000000	0.000000	0.000000
5.000678	__gene_K_rbs	0.000000	0.000000	0.000000
5.000678	__ribosome	90.000000	0.000000	0.000000
5.000678	bound_ecolipol	1927.000000	0.000000	0.000000
5.000678	bound_ribosome	100.000000	0.000000	0.000000
5.000678	ecoli_genome	73.000000	0.000000	0.000000
5.000678	ecoli_transcript	390.000000	0.000000	0.000000
5.000678	ecolipol	67.000000	0.000000	0.000000
5.000678	gene_A	0.000000	4.000000	2.500000
5.000678	promoter_A	0.000000	0.000000	0.000000
5.000678	promoter_B1	1.000000	0.000000	0.000000
5.000678	promoter_D	1.000000	0.000000	0.000000
10.000800	__gene_A*_rbs	0.000000	0.000000	0.000000
10.000800	__gene_A_rbs	4.000000	0.000000	0.000000
10.000800	__gene_B_rbs	1.000000	0.000000	0.000000
10.000800	__gene_C_rbs	0.000000	0.000000	0.000000
10.000800	__gene_D_rbs	0.000000	0.000000	0.000000
10.000800	__gene_E_rbs	0.000000	0.000000	0.000000
10.000800	__gene_F_rbs	0.000000	0.000000	0.000000
10.000800	__gene_G_rbs	0.000000	0.000000	0.000000
10.000800	__gene_H_rbs	0.000000	0.000000	0.000000
10.000800	__gene_J_rbs	0.000000	0.000000	0.000000
10.000800	__gene_K_rbs	0.000000	0.000000	0.000000
10.000800	__ribosome	70.000000	0.000000	0.000000
10.000800	bound_ecolipol	1922.000000	0.000000	0.000000
10.000800	bound_ribosome	100.000000	0.000000	0.000000
10.000800	ecoli_genome	78.000000	0.000000	0.000000
10.000800	ecoli_transcript	791.000000	0.000000	0.000000
10.000800	ecolipol	66.000000	0.000000	0.000000
10.000800	gene_A	0.000000	7.000000	4.142857
10.000800	gene_B	0.000000	1.000000	0.000000
10.000800	gene_D	0.000000	1.000000	1.000000
10.000800	promoter_A	0.000000	0.000000	0.000000
10.000800	promoter_B1	1.000000	0.000000	0.000000
10.000800	promoter_D	1.000000	0.000000	0.000000
14.999812	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999812	__gene_A_rbs	8.000000	0.000000	0.000000
14.999812	__gene_B_rbs	3.000000	0.000000	0.000000
14.999812	__gene_C_rbs	0.000000	0.000000	0.000000
14.999812	__gene_D_rbs	1.000000	0.000000	0.000000
14.999812	__gene_E_rbs	1.000000	0.000000	0.000000
14.999812	__gene_F_rbs	0.000000	0.000000	0.000000
14.999812	__gene_G_rbs	0.000000	0.000000	0.000000
14.999812	__gene_H_rbs	0.000000	0.000000	0.000000
14.999812	__gene_J_rbs	0.000000	0.000000	0.000000
14.999812	__gene_K_rbs	0.000000	0.000000	0.000000
14.999812	__ribosome	41.000000	0.000000	0.000000
14.999812	bound_ecolipol	1920.000000	0.000000	0.000000
14.999812	bound_ribosome	100.000000	0.000000	0.000000
