time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	bound_ecolipol	2000.000000	0.000000	0.000000
0.000000	bound_ribosome	100.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
5.001419	__gene_A*_rbs	0.000000	0.000000	0.000000
5.001419	__gene_A_rbs	0.000000	0.000000	0.000000
5.001419	__gene_B_rbs	0.000000	0.000000	0.000000
5.001419	__gene_C_rbs	0.000000	0.000000	0.000000
5.001419	__gene_D_rbs	0.000000	0.000000	0.000000
5.001419	__gene_E_rbs	0.000000	0.000000	0.000000
5.001419	__gene_F_rbs	0.000000	0.000000	0.000000
5.001419	__gene_G_rbs	0.000000	0.000000	0.000000
5.001419	__gene_H_rbs	0.000000	0.000000	0.000000
5.001419	__gene_J_rbs	0.000000	0.000000	0.000000
5.001419	__gene_K_rbs	0.000000	0.000000	0.000000
5.001419	__ribosome	100.000000	0.000000	0.000000
5.001419	bound_ecolipol	1924.000000	0.000000	0.000000
5.001419	bound_ribosome	100.000000	0.000000	0.000000
5.001419	ecoli_genome	76.000000	0.000000	0.000000
5.001419	ecoli_transcript	408.000000	0.000000	0.000000
5.001419	ecolipol	74.000000	0.000000	0.000000
5.001419	promoter_A	1.000000	0.000000	0.000000
5.001419	promoter_B1	1.000000	0.000000	0.000000
5.001419	promoter_D	1.000000	0.000000	0.000000
10.001672	__gene_A*_rbs	0.000000	0.000000	0.000000
10.001672	__gene_A_rbs	0.000000	0.000000	0.000000
10.001672	__gene_B_rbs	0.000000	0.000000	0.000000
10.001672	__gene_C_rbs	0.000000	0.000000	0.000000
10.001672	__gene_D_rbs	2.000000	0.000000	0.000000
10.001672	__gene_E_rbs	0.000000	0.000000	0.000000
10.001672	__gene_F_rbs	0.000000	0.000000	0.000000
10.001672	__gene_G_rbs	0.000000	0.000000	0.000000
10.001672	__gene_H_rbs	0.000000	0.000000	0.000000
10.001672	__gene_J_rbs	0.000000	0.000000	0.000000
10.001672	__gene_K_rbs	0.000000	0.000000	0.000000
10.001672	__ribosome	95.000000	0.000000	0.000000
10.001672	bound_ecolipol	1924.000000	0.000000	0.000000
10.001672	bound_ribosome	100.000000	0.000000	0.000000
10.001672	ecoli_genome	76.000000	0.000000	0.000000
10.001672	ecoli_transcript	787.000000	0.000000	0.000000
10.001672	ecolipol	69.000000	0.000000	0.000000
10.001672	gene_B	0.000000	1.000000	4.000000
10.001672	gene_D	0.000000	2.000000	0.500000
10.001672	promoter_A	1.000000	0.000000	0.000000
10.001672	promoter_B1	0.000000	0.000000	0.000000
10.001672	promoter_D	1.000000	0.000000	0.000000
14.999080	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999080	__gene_A_rbs	0.000000	0.000000	0.000000
14.999080	__gene_B_rbs	2.000000	0.000000	0.000000
14.999080	__gene_C_rbs	0.000000	0.000000	0.000000
14.999080	__gene_D_rbs	2.000000	0.000000	0.000000
14.999080	__gene_E_rbs	1.000000	0.000000	0.000000
14.999080	__gene_F_rbs	0.000000	0.000000	0.000000
14.999080	__gene_G_rbs	0.000000	0.000000	0.000000
14.999080	__gene_H_rbs	0.000000	0.000000	0.000000
14.999080	__gene_J_rbs	0.000000	0.000000	0.000000
14.999080	__gene_K_rbs	0.000000	0.000000	0.000000
14.999080	__ribosome	75.000000	0.000000	0.000000
14.999080	bound_ecolipol	1919.000000	0.000000	0.000000
14.999080	bound_ribosome	100.000000	0.000000	0.000000
14.999080	ecoli_genome	81.000000	0.000000	0.000000
