time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	bound_ecolipol	2000.000000	0.000000	0.000000
0.000000	bound_ribosome	100.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
5.003897	__gene_A*_rbs	0.000000	0.000000	0.000000
5.003897	__gene_A_rbs	0.000000	0.000000	0.000000
5.003897	__gene_B_rbs	0.000000	0.000000	0.000000
5.003897	__gene_C_rbs	0.000000	0.000000	0.000000
5.003897	__gene_D_rbs	0.000000	0.000000	0.000000
5.003897	__gene_E_rbs	0.000000	0.000000	0.000000
5.003897	__gene_F_rbs	0.000000	0.000000	0.000000
5.003897	__gene_G_rbs	0.000000	0.000000	0.000000
5.003897	__gene_H_rbs	0.000000	0.000000	0.000000
5.003897	__gene_J_rbs	0.000000	0.000000	0.000000
5.003897	__gene_K_rbs	0.000000	0.000000	0.000000
5.003897	__ribosome	100.000000	0.000000	0.000000
5.003897	bound_ecolipol	1925.000000	0.000000	0.000000
5.003897	bound_ribosome	100.000000	0.000000	0.000000
5.003897	ecoli_genome	75.000000	0.000000	0.000000
5.003897	ecoli_transcript	407.000000	0.000000	0.000000
5.003897	ecolipol	73.000000	0.000000	0.000000
5.003897	promoter_A	1.000000	0.000000	0.000000
5.003897	promoter_B1	1.000000	0.000000	0.000000
5.003897	promoter_D	1.000000	0.000000	0.000000
10.001783	__gene_A*_rbs	0.000000	0.000000	0.000000
10.001783	__gene_A_rbs	0.000000	0.000000	0.000000
10.001783	__gene_B_rbs	0.000000	0.000000	0.000000
10.001783	__gene_C_rbs	0.000000	0.000000	0.000000
10.001783	__gene_D_rbs	0.000000	0.000000	0.000000
10.001783	__gene_E_rbs	0.000000	0.000000	0.000000
10.001783	__gene_F_rbs	0.000000	0.000000	0.000000
10.001783	__gene_G_rbs	0.000000	0.000000	0.000000
10.001783	__gene_H_rbs	0.000000	0.000000	0.000000
10.001783	__gene_J_rbs	0.000000	0.000000	0.000000
10.001783	__gene_K_rbs	0.000000	0.000000	0.000000
10.001783	__ribosome	98.000000	0.000000	0.000000
10.001783	bound_ecolipol	1921.000000	0.000000	0.000000
10.001783	bound_ribosome	100.000000	0.000000	0.000000
10.001783	ecoli_genome	79.000000	0.000000	0.000000
10.001783	ecoli_transcript	780.000000	0.000000	0.000000
10.001783	ecolipol	75.000000	0.000000	0.000000
10.001783	gene_B	0.000000	1.000000	2.000000
10.001783	promoter_A	1.000000	0.000000	0.000000
10.001783	promoter_B1	1.000000	0.000000	0.000000
10.001783	promoter_D	1.000000	0.000000	0.000000
14.999541	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999541	__gene_A_rbs	0.000000	0.000000	0.000000
14.999541	__gene_B_rbs	3.000000	0.000000	0.000000
14.999541	__gene_C_rbs	0.000000	0.000000	0.000000
14.999541	__gene_D_rbs	0.000000	0.000000	0.000000
14.999541	__gene_E_rbs	0.000000	0.000000	0.000000
14.999541	__gene_F_rbs	0.000000	0.000000	0.000000
14.999541	__gene_G_rbs	0.000000	0.000000	0.000000
14.999541	__gene_H_rbs	0.000000	0.000000	0.000000
14.999541	__gene_J_rbs	0.000000	0.000000	0.000000
14.999541	__gene_K_rbs	0.000000	0.000000	0.000000
14.999541	__ribosome	90.000000	0.000000	0.000000
14.999541	bound_ecolipol	1930.000000	0.000000	0.000000
14.999541	bound_ribosome	100.000000	0.000000	0.000000
14.999541	ecoli_genome	70.000000	0.000000	0.000000
14.999541	ecoli_transcript	1195.000000	0.000000	0.000000
